ID;Geoname_ID;Name;Country_Code;Country_name;Population;Elevation;Timezone;Coordinates
0;3112388;Rabade;ES;Spain;1635;398;Europe/Madrid;43.117, -7.61714
1;3112536;Quintana del Puente;ES;Spain;243;753;Europe/Madrid;42.08471, -4.20649
2;3112586;Quer;ES;Spain;1008;692;Europe/Madrid;40.60532, -3.2753
3;3112689;Puerto Seguro;ES;Spain;99;637;Europe/Madrid;40.82718, -6.76109
4;3112786;Puebla de Lillo;ES;Spain;673;1136;Europe/Madrid;43.00691, -5.27387
5;3112796;Puebla de Alborton;ES;Spain;150;482;Europe/Madrid;41.38517, -0.85558
6;3113415;Pinto;ES;Spain;43501;612;Europe/Madrid;40.24147, -3.69999
7;3113446;Pinilla del Campo;ES;Spain;21;1047;Europe/Madrid;41.71691, -2.0835
8;3113534;Pinarnegrillo;ES;Spain;158;855;Europe/Madrid;41.19098, -4.20967
9;3113734;Peralada;ES;Spain;0;37;Europe/Madrid;42.30823, 3.0091
10;3113809;Perales;ES;Spain;103;778;Europe/Madrid;42.19398, -4.58105
11;3113908;Penarandilla;ES;Spain;256;826;Europe/Madrid;40.88348, -5.3936
12;3114208;Pastores;ES;Spain;46;767;Europe/Madrid;40.51508, -6.51018
13;3114479;Pals;ES;Spain;2366;20;Europe/Madrid;41.97102, 3.14814
14;3114577;Palacios de Sanabria;ES;Spain;321;980;Europe/Madrid;42.05901, -6.52362
15;3115114;Olmillos de Castro;ES;Spain;368;767;Europe/Madrid;41.73179, -5.96791
16;3115370;Nonaspe;ES;Spain;1041;182;Europe/Madrid;41.20881, 0.24775
17;3115473;Nieva;ES;Spain;349;841;Europe/Madrid;41.08191, -4.42501
18;3115673;Navahondilla;ES;Spain;211;710;Europe/Madrid;40.3251, -4.49661
19;3115707;Navacarros;ES;Spain;143;1127;Europe/Madrid;40.39776, -5.71425
20;3115739;Naron;ES;Spain;37712;23;Europe/Madrid;43.50175, -8.19082
21;3115787;Nafria de Ucero;ES;Spain;79;1023;Europe/Madrid;41.72273, -3.09499
22;3116276;Montmelo;ES;Spain;8784;78;Europe/Madrid;41.55002, 2.2419
23;3116299;Montesquiu;ES;Spain;0;681;Europe/Madrid;42.11667, 2.21667
24;3116484;Monfarracinos;ES;Spain;782;643;Europe/Madrid;41.55468, -5.70795
25;3116542;Mombuey;ES;Spain;415;891;Europe/Madrid;42.02283, -6.33027
26;3116595;Molina de Aragon;ES;Spain;3536;1067;Europe/Madrid;40.84358, -1.88762
27;3116826;Mesones de Isuela;ES;Spain;334;518;Europe/Madrid;41.55119, -1.53858
